id,Danceability
17170,5.000000
17171,6.000000
17172,5.000000
17173,4.000000
17174,5.000000
17175,6.000000
17176,5.000000
17177,3.000000
17178,6.000000
17179,3.000000
17180,4.000000
17181,5.000000
17182,6.000000
17183,7.000000
17184,5.000000
17185,5.000000
17186,5.000000
17187,3.000000
17188,4.000000
17189,4.000000
17190,7.000000
17191,7.000000
17192,6.000000
17193,6.000000
17194,5.000000
17195,8.000000
17196,6.000000
17197,6.000000
17198,6.000000
17199,5.000000
17200,3.000000
17201,4.000000
17202,2.000000
17203,2.000000
17204,6.000000
17205,3.000000
17206,6.000000
17207,3.000000
17208,3.000000
17209,3.000000
17210,5.000000
17211,4.000000
17212,2.000000
17213,7.000000
17214,6.000000
17215,5.000000
17216,6.000000
17217,6.000000
17218,7.000000
17219,6.000000
17220,6.000000
17221,3.000000
17222,4.000000
17223,5.000000
17224,4.000000
17225,4.000000
17226,6.000000
17227,4.000000
17228,5.000000
17229,5.000000
17230,3.000000
17231,5.000000
17232,5.000000
17233,3.000000
17234,2.000000
17235,3.000000
17236,3.000000
17237,2.000000
17238,2.000000
17239,4.000000
17240,1.000000
17241,2.000000
17242,2.000000
17243,5.000000
17244,3.000000
17245,3.000000
17246,5.000000
17247,7.000000
17248,3.000000
17249,5.000000
17250,2.000000
17251,4.000000
17252,3.000000
17253,4.000000
17254,6.000000
17255,6.000000
17256,6.000000
17257,7.000000
17258,4.000000
17259,4.000000
17260,5.000000
17261,6.000000
17262,7.000000
17263,7.000000
17264,5.000000
17265,6.000000
17266,4.000000
17267,4.000000
17268,6.000000
17269,6.000000
17270,7.000000
17271,7.000000
17272,7.000000
17273,6.000000
17274,7.000000
17275,7.000000
17276,4.000000
17277,4.000000
17278,4.000000
17279,6.000000
17280,4.000000
17281,6.000000
17282,3.000000
17283,6.000000
17284,6.000000
17285,7.000000
17286,5.000000
17287,3.000000
17288,5.000000
17289,5.000000
17290,5.000000
17291,4.000000
17292,5.000000
17293,5.000000
17294,7.000000
17295,7.000000
17296,7.000000
17297,5.000000
17298,6.000000
17299,7.000000
17300,7.000000
17301,6.000000
17302,7.000000
17303,2.000000
17304,8.000000
17305,4.000000
17306,5.000000
17307,5.000000
17308,4.000000
17309,5.000000
17310,6.000000
17311,7.000000
17312,4.000000
17313,6.000000
17314,8.000000
17315,6.000000
17316,6.000000
17317,6.000000
17318,5.000000
17319,4.000000
17320,7.000000
17321,5.000000
17322,4.000000
17323,6.000000
17324,4.000000
17325,3.000000
17326,5.000000
17327,4.000000
17328,2.000000
17329,5.000000
17330,5.000000
17331,5.000000
17332,3.000000
17333,4.000000
17334,4.000000
17335,5.000000
17336,6.000000
17337,6.000000
17338,7.000000
17339,7.000000
17340,7.000000
17341,3.000000
17342,5.000000
17343,3.000000
17344,2.000000
17345,3.000000
17346,6.000000
17347,6.000000
17348,7.000000
17349,3.000000
17350,7.000000
17351,3.000000
17352,5.000000
17353,5.000000
17354,6.000000
17355,6.000000
17356,5.000000
17357,7.000000
17358,5.000000
17359,7.000000
17360,6.000000
17361,7.000000
17362,5.000000
17363,7.000000
17364,7.000000
17365,6.000000
17366,5.000000
17367,7.000000
17368,8.000000
17369,7.000000
17370,7.000000
17371,7.000000
17372,5.000000
17373,4.000000
17374,4.000000
17375,4.000000
17376,5.000000
17377,1.000000
17378,4.000000
17379,7.000000
17380,7.000000
17381,5.000000
17382,5.000000
17383,7.000000
17384,8.000000
17385,7.000000
17386,6.000000
17387,4.000000
17388,7.000000
17389,5.000000
17390,7.000000
17391,7.000000
17392,7.000000
17393,6.000000
17394,6.000000
17395,6.000000
17396,8.000000
17397,4.000000
17398,5.000000
17399,5.000000
17400,5.000000
17401,4.000000
17402,5.000000
17403,6.000000
17404,5.000000
17405,5.000000
17406,3.000000
17407,4.000000
17408,4.000000
17409,5.000000
17410,5.000000
17411,6.000000
17412,3.000000
17413,7.000000
17414,6.000000
17415,5.000000
17416,7.000000
17417,6.000000
17418,7.000000
17419,7.000000
17420,3.000000
17421,7.000000
17422,4.000000
17423,3.000000
17424,6.000000
17425,6.000000
17426,5.000000
17427,5.000000
17428,3.000000
17429,5.000000
17430,5.000000
17431,6.000000
17432,5.000000
17433,4.000000
17434,6.000000
17435,4.000000
17436,5.000000
17437,4.000000
17438,6.000000
17439,5.000000
17440,3.000000
17441,4.000000
17442,2.000000
17443,4.000000
17444,4.000000
17445,5.000000
17446,3.000000
17447,5.000000
17448,2.000000
17449,6.000000
17450,6.000000
17451,7.000000
17452,6.000000
17453,7.000000
17454,8.000000
17455,4.000000
17456,6.000000
17457,5.000000
17458,6.000000
17459,7.000000
17460,3.000000
17461,6.000000
17462,2.000000
17463,4.000000
17464,5.000000
17465,2.000000
17466,4.000000
17467,3.000000
17468,6.000000
17469,5.000000
17470,4.000000
17471,6.000000
17472,4.000000
17473,7.000000
17474,5.000000
17475,6.000000
17476,6.000000
17477,6.000000
17478,7.000000
17479,6.000000
17480,4.000000
17481,4.000000
17482,6.000000
17483,6.000000
17484,5.000000
17485,7.000000
17486,7.000000
17487,5.000000
17488,6.000000
17489,3.000000
17490,8.000000
17491,6.000000
17492,5.000000
17493,6.000000
17494,6.000000
17495,2.000000
17496,6.000000
17497,7.000000
17498,7.000000
17499,6.000000
17500,2.000000
17501,3.000000
17502,5.000000
17503,3.000000
17504,5.000000
17505,2.000000
17506,3.000000
17507,4.000000
17508,3.000000
17509,6.000000
17510,5.000000
17511,5.000000
17512,6.000000
17513,5.000000
17514,6.000000
17515,7.000000
17516,5.000000
17517,4.000000
17518,5.000000
17519,7.000000
17520,5.000000
17521,6.000000
17522,6.000000
17523,5.000000
17524,5.000000
17525,7.000000
17526,5.000000
17527,5.000000
17528,5.000000
17529,6.000000
17530,4.000000
17531,7.000000
17532,4.000000
17533,3.000000
17534,7.000000
17535,6.000000
17536,4.000000
17537,7.000000
17538,4.000000
17539,6.000000
17540,8.000000
17541,7.000000
17542,2.000000
17543,7.000000
17544,5.000000
17545,4.000000
17546,6.000000
17547,6.000000
17548,5.000000
17549,4.000000
17550,6.000000
17551,7.000000
17552,5.000000
17553,4.000000
17554,8.000000
17555,6.000000
17556,5.000000
17557,4.000000
17558,6.000000
17559,6.000000
17560,8.000000
17561,6.000000
17562,5.000000
17563,4.000000
17564,4.000000
17565,3.000000
17566,6.000000
17567,2.000000
17568,4.000000
17569,2.000000
17570,3.000000
17571,5.000000
17572,5.000000
17573,5.000000
17574,4.000000
17575,4.000000
17576,3.000000
17577,5.000000
17578,7.000000
17579,7.000000
17580,6.000000
17581,7.000000
17582,5.000000
17583,5.000000
17584,6.000000
17585,6.000000
17586,6.000000
17587,5.000000
17588,5.000000
17589,6.000000
17590,7.000000
17591,8.000000
17592,6.000000
17593,3.000000
17594,5.000000
17595,6.000000
17596,5.000000
17597,4.000000
17598,5.000000
17599,6.000000
17600,3.000000
17601,6.000000
17602,5.000000
17603,3.000000
17604,5.000000
17605,3.000000
17606,1.000000
17607,6.000000
17608,5.000000
17609,7.000000
17610,3.000000
17611,6.000000
17612,3.000000
17613,6.000000
17614,2.000000
17615,3.000000
17616,4.000000
17617,3.000000
17618,2.000000
17619,2.000000
17620,4.000000
17621,3.000000
17622,5.000000
17623,4.000000
17624,3.000000
17625,4.000000
17626,7.000000
17627,3.000000
17628,2.000000
17629,3.000000
17630,7.000000
17631,3.000000
17632,5.000000
17633,2.000000
17634,3.000000
17635,3.000000
17636,4.000000
17637,3.000000
17638,3.000000
17639,5.000000
17640,4.000000
17641,2.000000
17642,5.000000
17643,4.000000
17644,5.000000
17645,3.000000
17646,4.000000
17647,3.000000
17648,4.000000
17649,2.000000
17650,5.000000
17651,3.000000
17652,3.000000
17653,5.000000
17654,3.000000
17655,3.000000
17656,3.000000
17657,2.000000
17658,2.000000
17659,2.000000
17660,2.000000
17661,0.000000
17662,0.000000
17663,1.000000
17664,2.000000
17665,1.000000
17666,0.000000
17667,6.000000
17668,2.000000
17669,2.000000
17670,2.000000
17671,2.000000
17672,4.000000
17673,2.000000
17674,3.000000
17675,1.000000
17676,6.000000
17677,2.000000
17678,2.000000
17679,3.000000
17680,3.000000
17681,6.000000
17682,6.000000
17683,4.000000
17684,4.000000
17685,4.000000
17686,4.000000
17687,2.000000
17688,3.000000
17689,4.000000
17690,4.000000
17691,5.000000
17692,2.000000
17693,2.000000
17694,4.000000
17695,5.000000
17696,2.000000
17697,1.000000
17698,1.000000
17699,2.000000
17700,2.000000
17701,4.000000
17702,4.000000
17703,7.000000
17704,4.000000
17705,6.000000
17706,4.000000
17707,4.000000
17708,6.000000
17709,5.000000
17710,3.000000
